FID,Eastings,Northings,LST,NDVI,NDMI
424,632746.59,1363420.854,34.5575981,0.11828,-0.181102
425,632725.2471,1363620.581,33.4888,0.192731,-0.0724132
426,632638.6024,1363609.657,34.8305016,0.128251,-0.173153
427,632840.241,1363596.281,32.9143982,0.162069,-0.109288
428,632764.6576,1363693.935,32.9701004,0.200691,-0.0284915
429,632221.7418,1361259.921,31.8565006,0.209113,-0.134791
430,632226.7021,1361352.445,30.1683998,0.252482,-0.119495
431,632763.6788,1361151.242,34.5884018,0.173004,-0.14941
432,632186.8688,1361144.041,33.0905991,0.172015,-0.13617
433,632569.985,1361325.576,33.0214005,0.117689,-0.102721
434,616914.0351,1360696.951,33.2933006,0.111152,-0.139485
435,632650.7829,1363579.615,34.7997017,0.129181,-0.170132
436,632345.1136,1361319.76,33.8969994,0.165405,-0.165017
437,632425.9818,1361367.329,33.6973991,0.230674,-0.107538
438,611230.4998,1366632.424,33.3400002,0.165246,-0.139617
439,611447.845,1366488.185,32.8698997,0.131161,-0.092187
440,611162.1749,1366086.882,33.5466003,0.155299,-0.0325991
